counter,treatment,plant.no,farm,branch.code,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds
MM,E,395,Adam's,HPLA,6,2,1.6201,17,46,33,10
MM,E,395,Adam's,HPLA,6,3,1.3017,14,61,22,6
MM,E,395,Adam's,HPLA,6,4,1.5245,10,18,59,5
MM,E,395,Adam's,HPLA,3,1,2.1547,13,58,34,12
MM,E,395,Adam's,CLA,3,1,1.4023,13,4,45,31
MM,E,395,Adam's,CLA,3,2,1.6853,11,32,51,20
MM,E,395,Adam's,CLA,3,3,1.8272,9,41,56,12
MM,E,395,Adam's,CLA,1,4,1.8942,12,15,64,12
MM,E,395,Adam's,CLA,1,5,1.9721,11,38,44,13
MM,E,395,Adam's,CLB,1,1,1.6809,11,37,53,8
MM,E,395,Adam's,CLB,2,1,1.3629,9,19,69,10
MM,E,395,Adam's,CLB,2,2,1.2419,14,11,67,13
MM,E,395,Adam's,CLB,2,1,1.7075,12,50,28,6
MM,E,395,Adam's,CLB,2,2,1.7877,13,43,44,8
MM,E,395,Adam's,CLC,5,1,2.1049,14,13,61,14
MM,E,395,Adam's,CLC,5,2,1.6094,11,16,65,12
MM,E,395,Adam's,CLC,5,3,1.4643,16,5,67,20
MM,E,395,Adam's,CLC,5,4,2.3677,15,29,75,8
MM,E,395,Adam's,CLC,5,5,1.3939,11,19,53,14
MM,E,134,Full Belly,HPLA,9,1,1.1789,13,33,35,7
MM,E,134,Full Belly,HPLA,9,2,1.4984,14,35,49,19
MM,E,134,Full Belly,HPLA,9,3,1.4103,13,42,44,8
MM,E,134,Full Belly,HPLA,9,4,1.4588,13,41,50,11
MM,E,134,Full Belly,HPLA,9,5,1.1962,15,30,51,13
MM,E,323,Charlotte,HPLA,1,1,1.6404,14,15,60,16
MM,E,323,Charlotte,HPLA,2,2,2.0918,10,24,57,10
MM,E,323,Charlotte,HPLA,2,3,2.1937,11,37,33,7
MM,E,323,Charlotte,HPLA,1,4,2.5083,12,66,24,5
MM,E,338,Adam's,HPLD,1,1,2.4311,11,30,54,13
MM,E,134,Full Belly,CLA,4,1,1.1963,15,28,61,5
MM,E,134,Full Belly,CLA,4,2,1.1297,15,31,49,15
MM,E,134,Full Belly,CLA,4,3,1.2268,15,25,44,12
MM,E,134,Full Belly,Untagged,2,1,1.6679,11,30,57,3
MM,E,134,Full Belly,Untagged,2,2,1.6825,10,25,60,7
MM,E,134,Full Belly,Untagged,1,1,0.9214,14,4,65,10
MM,E,134,Full Belly,Untagged,1,1,1.9885,12,28,58,7
MM,E,137,Boutin,HPLB,2,1,1.7619,10,40,22,15
MM,E,137,Boutin,HPLB,2,2,1.2546,12,39,13,8
MM,E,137,Boutin,HPLB,1,3,2.2333,13,35,39,8
MM,E,137,Boutin,HPLB,1,4,1.0011,13,15,4,11
MM,E,137,Boutin,HPLA,3,1,2.0891,11,23,53,16
MM,E,137,Boutin,HPLA,3,2,1.4288,16,33,27,14
MM,E,137,Boutin,HPLA,3,3,1.9065,11,41,20,15
MM,E,137,Boutin,HPLA,2,1,2.6271,10,47,25,15
MM,E,137,Boutin,HPLA,2,1,1.9429,9,26,14,6
MM,E,338,Adam's,CLC,1,1,0.6659,6,31,42,18
