counter,treatment,plant.no,farm,branch.code,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds
MM,C,151,Isham,CLA,1,1,0.2313,11,0,0,9
MM,C,151,Isham,CLB,3,1,1.0118,8,26,47,11
MM,C,151,Isham,CLB,3,2,2.7693,14,37,29,9
MM,C,151,Isham,CLB,3,3,1.4009,9,5,49,28
MM,C,151,Isham,HPLA,2,1,1.0504,9,2,25,30
MM,C,151,Isham,HPLA,2,2,1.0284,10,9,63,10
MM,C,307,Adam's,CLB,1,1,0.6744,14,2,28,6
MM,C,307,Adam's,HPLB,1,1,1.3664,14,16,38,6
MM,C,307,Adam's,HPLB,2,1,1.1149,14,30,15,5
MM,C,307,Adam's,HPLB,2,2,1.3938,13,46,20,16
MM,C,307,Adam's,HPLB,1,1,2.2652,11,42,35,10
MM,C,307,Adam's,CLA,1,1,2.0531,10,36,27,8
MM,C,45,Adam's,HPLA,3,1,2.2993,12,37,55,12
MM,C,45,Adam's,HPLA,3,2,1.8264,10,34,56,6
MM,C,45,Adam's,HPLA,3,3,2.0202,11,24,59,4
MM,C,45,Adam's,HPLA,1,1,1.3331,13,10,47,18
MM,C,45,Adam's,HPLB,1,1,1.3102,10,26,43,10
MM,C,45,Adam's,CLB,1,1,1.2173,13,20,54,6
MM,C,45,Adam's,CLB,1,1,1.0309,9,20,52,12
MM,C,45,Adam's,CLB,1,1,1.5126,10,30,60,7
MM,C,322,full Belly,CLA,1,1,1.1881,12,17,38,6
MM,C,322,full Belly,CLA,1,1,0.6027,11,8,32,5
MM,C,322,full Belly,CLA,2,1,1.5001,11,28,21,4
MM,C,322,full Belly,CLA,2,2,1.8006,6,32,23,4
MM,C,98,Charlotte,HPLA,2,1,1.4911,13,41,27,9
MM,C,98,Charlotte,HPLA,2,2,1.8856,13,50,33,9
MM,C,98,Charlotte,CLB,2,1,1.4602,12,20,57,12
MM,C,98,Charlotte,CLB,2,2,2.1046,13,33,40,9
MM,C,86,full Belly,HPLA,2,1,1.9281,10,31,50,8
MM,C,86,full Belly,HPLA,2,2,1.7405,9,19,61,8
MM,C,86,full Belly,HPLA,2,1,1.8203,8,37,37,5
MM,C,86,full Belly,HPLA,2,2,1.3563,9,19,67,9
MM,C,86,full Belly,HPLB,1,1,1.4859,12,15,69,7
MM,C,86,full Belly,HPLB,1,1,1.0893,11,15,56,3
MM,C,10,Isham,CLA,1,1,1.5473,13,12,59,4
MM,C,45,Adam's,CLA,1,1,0.3906,8,0,0,3
MM,C,46,Adam's,HPLB,2,1,1.5379,7,34,33,13
MM,C,46,Adam's,HPLB,2,2,1.4958,11,46,49,8
MM,C,321,Boutin,CLA,2,1,1.4665,10,39,36,5
MM,C,321,Boutin,CLA,2,2,1.4091,9,49,41,6
MM,C,372,Adam's,Untagged,2,1,1.3537,10,37,45,12
MM,C,372,Adam's,Untagged,2,2,1.2968,10,26,47,7
MM,C,86,Full Belly,CLB,1,1,1.9768,9,31,55,3
MM,C,86,Full Belly,CLB,2,1,1.7159,9,29,45,7
MM,C,86,Full Belly,CLA,3,1,1.8546,12,30,53,5
MM,C,86,Full Belly,CLA,3,2,2.2522,12,37,49,5
MM,C,86,Full Belly,CLA,3,3,2.2195,11,36,46,7
MM,C,86,Full Belly,CLA,1,1,1.5337,10,9,76,6
MM,C,307,Adam's,CLA,3,1,2.1442,13,28,30,11
MM,C,307,Adam's,CLA,3,2,1.8259,13,7,39,15
MM,C,307,Adam's,CLA,3,3,2.7886,13,36,22,9
MM,C,307,Adam's,CLA,5,4,1.6937,9,30,16,2
MM,C,307,Adam's,HPLB,5,1,3.0237,13,56,18,7
MM,C,307,Adam's,CLB,5,1,2.1403,11,17,37,15
MM,C,307,Adam's,CLB,5,2,2.0659,10,36,36,9
MM,C,307,Adam's,CLB,5,3,2.1851,10,29,43,8
MM,C,307,Adam's,CLB,5,4,1.3184,9,6,35,27
MM,C,96,Boutin,CLA,1,1,0.6567,15,43,28,8
MM,C,96,Boutin,CLA,2,2,0.6502,16,11,69,18
MM,C,96,Boutin,CLA,2,3,0.7043,13,13,62,10
MM,C,40,Isham,CLA,1,1,1.5309,13,19,35,6
MM,C,40,Isham,CLA,1,2,0.9614,16,17,46,11
MM,C,40,Isham,HPLA,1,1,2.1061,12,29,27,4
MM,C,40,Isham,HPLB,1,1,1.5895,11,21,36,10
MM,C,307,Adam's,HPLC,1,1,1.6145,12,8,35,17
MM,C,307,Adam's,HPLC,1,1,1.9337,10,19,46,4
MM,C,307,Adam's,CLC,2,1,0.4982,9,1,15,3
MM,C,307,Adam's,CLC,2,2,2.4402,12,38,24,12
MM,C,307,Adam's,CLC,2,1,1.9285,10,9,48,17
MM,C,307,Adam's,CLC,2,2,2.2239,9,21,34,21
MM,A,241,Adam's,CLA,1,1,1.9724,14,28,65,5
MM,A,241,Adam's,CLA,2,2,1.6814,16,19,60,5
MM,A,241,Adam's,CLA,2,3,1.9255,15,16,55,11
MM,A,241,Adam's,CLA,1,4,1.5025,12,21,52,7
MM,C,99,Adam's,CLA,1,1,0.3593,15,19,15,20
MM,C,99,Adam's,CLA,1,2,0.6926,10,6,37,29
MM,A,153,Full Belly,CLA,1,1,1.7241,9,32,65,11
MM,A,153,Full Belly,HPLB,1,1,1.5397,12,18,52,13
MM,A,73,Charlotte,HPLA,1,1,1.8121,12,33,60,7
MM,A,73,Charlotte,HPLA,2,1,1.3338,12,20,69,8
MM,A,73,Charlotte,HPLA,2,2,1.8511,10,26,76,7
MM,A,73,Charlotte,HPLA,2,1,2.2666,10,32,56,7
MM,A,73,Charlotte,HPLA,2,2,2.5325,15,82,13,11
MM,A,170,Adam's,Untagged,1,1,1.7531,11,12,62,15
MM,A,170,Adam's,Untagged,2,2,1.3959,15,13,70,9
MM,A,170,Adam's,Untagged,2,3,1.5372,14,22,53,14
MM,A,72,Boutin,CLA,1,1,1.4823,16,5,11,8
MM,A,72,Boutin,HPLA,1,1,1.9462,12,42,31,15
MM,A,64,Charlotte,HPLA,1,1,2.3647,16,38,50,11
MM,A,64,Charlotte,HPLA,1,1,1.8368,15,14,60,7
MM,A,64,Charlotte,HPLA,1,1,1.1121,14,11,62,9
MM,A,64,Charlotte,HPLA,1,1,1.7072,14,13,59,9
MM,A,64,Charlotte,HPLA,2,1,2.2513,12,69,12,8
MM,A,64,Charlotte,HPLB,4,1,1.5054,15,28,42,3
MM,A,64,Charlotte,HPLB,4,2,1.5506,16,24,64,10
MM,A,64,Charlotte,HPLB,4,3,1.7599,16,46,42,9
MM,A,64,Charlotte,HPLB,4,4,1.6658,13,36,44,8
MM,A,64,Charlotte,HPLB,1,1,2.1395,13,30,63,7
MM,E,331,Full Belly,HPLC,6,1,1.0299,16,6,57,16
MM,E,331,Full Belly,HPLC,6,2,1.0551,8,33,46,14
MM,E,331,Full Belly,HPLC,4,3,0.9579,12,16,61,9
MM,E,331,Full Belly,HPLC,5,4,1.2672,13,12,56,15
MM,E,331,Full Belly,HPLC,2,5,1.0847,13,26,47,8
MM,E,331,Full Belly,Untagged,1,1,1.7366,11,31,70,14
MM,E,331,Full Belly,Untagged,1,2,1.5163,7,23,63,20
MM,E,331,Full Belly,HPLA,1,1,1.0649,15,17,91,12
MM,E,331,Full Belly,HPLA,2,1,1.6565,15,28,55,14
MM,E,331,Full Belly,HPLA,2,2,1.5024,12,26,47,21
MM,E,331,Full Belly,HPLA,2,1,1.3008,12,33,42,14
MM,E,331,Full Belly,HPLA,2,2,1.2516,12,20,34,18
MM,E,331,Full Belly,HPLD,1,1,1.5499,10,16,48,10
MM,E,331,Full Belly,HPLD,1,1,1.9667,10,49,59,7
MM,E,331,Full Belly,CLD,4,1,0.9891,12,16,37,6
MM,E,331,Full Belly,CLD,4,2,1.9434,16,26,43,9
MM,E,331,Full Belly,CLD,4,3,1.9925,14,23,53,14
MM,E,331,Full Belly,CLD,4,4,1.9909,14,30,42,14
MM,E,331,Full Belly,CLD,1,5,1.5206,11,23,49,6
MM,E,331,Full Belly,CLA,4,1,1.2029,15,6,60,17
MM,E,331,Full Belly,CLA,4,2,1.5431,13,21,38,18
MM,E,331,Full Belly,CLA,4,3,1.4341,13,29,66,10
MM,E,331,Full Belly,CLA,4,4,1.5105,12,31,36,8
MM,E,331,Full Belly,CLA,1,1,1.2542,11,10,63,19
MM,E,331,Full Belly,CLB,2,1,1.8323,12,46,41,9
MM,E,331,Full Belly,CLB,2,2,1.6351,12,40,44,12
MM,E,331,Full Belly,CLC,4,1,1.1941,9,27,41,11
MM,E,331,Full Belly,CLC,4,2,0.9169,10,14,61,14
MM,E,331,Full Belly,CLC,4,3,0.9205,12,16,45,9
MM,E,331,Full Belly,CLC,2,4,1.2682,10,22,67,10
MM,E,331,Full Belly,CLC,2,5,1.2649,10,27,46,12
MM,E,334,Full Belly,CLB,4,1,1.2797,15,36,46,6
MM,E,334,Full Belly,CLB,4,2,1.1777,12,33,57,5
MM,E,334,Full Belly,CLB,4,3,1.4317,9,46,35,10
MM,E,334,Full Belly,CLB,3,4,1.2388,12,28,65,6
MM,E,334,Full Belly,CLB,7,5,1.1172,11,33,53,7
MM,E,334,Full Belly,CLA,4,1,1.9098,14,43,47,4
MM,E,334,Full Belly,CLA,4,2,1.4731,13,46,50,4
MM,E,334,Full Belly,CLA,4,3,1.4615,14,29,50,5
MM,E,334,Full Belly,CLA,2,1,1.1426,12,35,61,7
MM,E,334,Full Belly,CLA,2,2,1.1244,13,35,38,10
MM,E,334,Full Belly,HPLB,3,1,1.9512,15,31,43,10
MM,E,334,Full Belly,HPLB,3,2,1.4838,11,29,59,4
MM,E,334,Full Belly,HPLB,3,3,2.3507,13,45,40,8
MM,E,334,Full Belly,HPLB,4,4,1.5412,10,38,48,7
MM,E,334,Full Belly,HPLB,4,5,1.6881,10,32,55,9
MM,E,334,Full Belly,HPLA,6,1,1.7571,9,41,38,5
MM,E,334,Full Belly,HPLA,6,2,1.2623,14,20,65,5
MM,E,334,Full Belly,HPLA,6,3,1.5449,10,45,52,8
MM,E,334,Full Belly,HPLA,6,4,1.6834,11,33,43,14
MM,E,334,Full Belly,HPLA,6,5,1.9784,12,40,49,17
MM,E,334,Full Belly,CLC,6,1,1.2944,13,31,44,7
MM,E,334,Full Belly,CLC,6,2,1.3686,17,31,44,10
MM,E,334,Full Belly,CLC,6,3,1.1193,14,30,46,7
MM,E,334,Full Belly,CLC,3,4,1.5954,13,36,42,10
MM,E,334,Full Belly,CLC,3,5,1.4981,13,38,50,3
MM,E,334,Full Belly,HPLC,3,1,1.2981,11,40,40,7
MM,E,334,Full Belly,HPLC,3,2,1.0561,12,39,44,4
MM,E,334,Full Belly,HPLC,3,3,1.1348,13,41,45,7
MM,E,334,Full Belly,HPLC,4,1,1.0391,14,36,42,7
MM,E,334,Full Belly,HPLC,4,2,0.8917,14,35,19,4
MM,E,395,Adam's,HPLC,6,1,2.0377,11,42,47,7
MM,E,395,Adam's,HPLC,6,2,1.7992,11,27,44,11
MM,E,395,Adam's,HPLC,1,3,2.5813,15,39,46,12
MM,E,395,Adam's,HPLC,4,4,1.7829,12,38,39,8
MM,E,395,Adam's,HPLC,4,5,1.5074,10,29,51,7
MM,E,395,Adam's,HPLA,6,1,1.6055,13,16,58,13
